model,draw,role,NFP+,LR,RN+,ENS+,DIV,DVG,DVD,joint_score,observed_percentile
national,233,calibration,239.0,39.0,111.0,142.0,6.0,11.0,29.0,33.555704458249096,NaN
national,234,reference,209.0,39.0,138.0,152.0,11.0,13.0,15.0,NaN,NaN
national,235,calibration,185.0,24.0,162.0,159.0,9.0,14.0,24.0,22.463888175709965,NaN
national,236,reference,229.0,37.0,127.0,141.0,11.0,12.0,20.0,NaN,NaN
national,237,calibration,180.0,22.0,155.0,176.0,6.0,13.0,25.0,24.457376144297495,NaN
national,238,reference,206.0,32.0,120.0,173.0,7.0,11.0,28.0,NaN,NaN
national,239,calibration,143.0,25.0,214.0,154.0,8.0,14.0,19.0,74.1147258592972,NaN
national,240,reference,213.0,40.0,111.0,168.0,9.0,10.0,26.0,NaN,NaN
national,241,calibration,209.0,39.0,116.0,166.0,10.0,14.0,23.0,14.681868658852824,NaN
national,242,reference,152.0,16.0,217.0,151.0,8.0,14.0,19.0,NaN,NaN
national,243,calibration,208.0,21.0,184.0,121.0,11.0,14.0,18.0,46.40122199675747,NaN
national,244,reference,202.0,28.0,133.0,170.0,8.0,13.0,23.0,NaN,NaN
national,245,calibration,244.0,37.0,79.0,165.0,9.0,13.0,30.0,48.046880219584565,NaN
national,246,reference,195.0,22.0,186.0,134.0,8.0,14.0,18.0,NaN,NaN
national,247,calibration,206.0,25.0,177.0,128.0,10.0,13.0,18.0,37.95346005884163,NaN
national,248,reference,209.0,45.0,87.0,183.0,10.0,12.0,31.0,NaN,NaN
national,249,calibration,231.0,28.0,98.0,173.0,10.0,14.0,23.0,30.495773564073605,NaN
national,250,reference,200.0,36.0,119.0,174.0,10.0,13.0,25.0,NaN,NaN
national,251,calibration,188.0,29.0,128.0,182.0,10.0,14.0,26.0,19.31367439542542,NaN
national,252,reference,224.0,43.0,97.0,162.0,11.0,13.0,27.0,NaN,NaN
national,253,calibration,224.0,34.0,112.0,158.0,9.0,12.0,28.0,20.40102754952154,NaN
national,254,reference,215.0,31.0,152.0,137.0,10.0,12.0,20.0,NaN,NaN
national,255,calibration,227.0,26.0,147.0,129.0,10.0,12.0,26.0,31.573037515881783,NaN
national,256,reference,206.0,37.0,108.0,178.0,9.0,11.0,28.0,NaN,NaN
national,257,calibration,164.0,40.0,150.0,172.0,9.0,13.0,29.0,28.823325947306824,NaN
national,258,reference,183.0,18.0,189.0,147.0,7.0,13.0,20.0,NaN,NaN
national,259,calibration,209.0,34.0,107.0,179.0,7.0,11.0,30.0,21.04365303946268,NaN
national,260,reference,177.0,35.0,164.0,154.0,10.0,13.0,24.0,NaN,NaN
national,261,calibration,172.0,39.0,141.0,174.0,11.0,13.0,27.0,23.138706370180376,NaN
national,262,reference,195.0,36.0,156.0,143.0,9.0,12.0,26.0,NaN,NaN
national,263,calibration,220.0,41.0,76.0,184.0,10.0,14.0,32.0,44.12021854018434,NaN
national,264,reference,226.0,39.0,105.0,162.0,8.0,8.0,29.0,NaN,NaN
national,265,calibration,236.0,24.0,132.0,140.0,10.0,13.0,22.0,29.763747670961582,NaN
national,266,reference,155.0,36.0,187.0,153.0,8.0,13.0,25.0,NaN,NaN
national,267,calibration,213.0,45.0,79.0,191.0,12.0,11.0,26.0,43.592430372454075,NaN
national,268,reference,207.0,38.0,135.0,152.0,9.0,13.0,23.0,NaN,NaN
national,269,calibration,216.0,24.0,154.0,136.0,8.0,14.0,25.0,26.079298717793836,NaN
