model,draw,role,NFP+,LR,RN+,ENS+,DIV,DVG,DVD,joint_score,observed_percentile
kernel_anchored,173,calibration,225.0,29.0,107.0,167.0,8.0,13.0,28.0,48.33801469990133,NaN
kernel_anchored,174,reference,187.0,13.0,218.0,125.0,7.0,13.0,14.0,NaN,NaN
kernel_anchored,175,calibration,217.0,31.0,111.0,171.0,7.0,12.0,28.0,44.99894471112896,NaN
kernel_anchored,176,reference,218.0,35.0,105.0,174.0,11.0,14.0,20.0,NaN,NaN
kernel_anchored,177,calibration,218.0,11.0,156.0,142.0,8.0,14.0,28.0,20.342574698904137,NaN
kernel_anchored,178,reference,187.0,14.0,214.0,122.0,9.0,12.0,19.0,NaN,NaN
kernel_anchored,179,calibration,234.0,34.0,120.0,148.0,9.0,11.0,21.0,40.8270549680685,NaN
kernel_anchored,180,reference,197.0,18.0,184.0,130.0,8.0,13.0,27.0,NaN,NaN
kernel_anchored,181,calibration,194.0,23.0,167.0,150.0,10.0,14.0,19.0,15.304536793380393,NaN
kernel_anchored,182,reference,205.0,8.0,210.0,122.0,8.0,10.0,14.0,NaN,NaN
kernel_anchored,183,calibration,185.0,21.0,183.0,148.0,9.0,12.0,19.0,18.00875533879615,NaN
kernel_anchored,184,reference,176.0,36.0,141.0,173.0,11.0,14.0,26.0,NaN,NaN
kernel_anchored,185,calibration,230.0,14.0,174.0,122.0,11.0,12.0,14.0,25.937585101643705,NaN
kernel_anchored,186,reference,233.0,14.0,149.0,137.0,9.0,14.0,21.0,NaN,NaN
kernel_anchored,187,calibration,232.0,15.0,170.0,125.0,7.0,11.0,17.0,25.758475586829995,NaN
kernel_anchored,188,reference,197.0,11.0,169.0,161.0,11.0,13.0,15.0,NaN,NaN
kernel_anchored,189,calibration,207.0,25.0,146.0,153.0,10.0,11.0,25.0,19.886313920697255,NaN
kernel_anchored,190,reference,181.0,10.0,208.0,136.0,8.0,13.0,21.0,NaN,NaN
kernel_anchored,191,calibration,192.0,12.0,192.0,142.0,9.0,14.0,16.0,18.775155237415632,NaN
kernel_anchored,192,reference,207.0,36.0,157.0,137.0,7.0,12.0,21.0,NaN,NaN
kernel_anchored,193,calibration,222.0,14.0,146.0,157.0,7.0,12.0,19.0,23.852022145848053,NaN
kernel_anchored,194,reference,199.0,16.0,201.0,124.0,8.0,13.0,16.0,NaN,NaN
kernel_anchored,195,calibration,204.0,19.0,185.0,133.0,8.0,13.0,15.0,16.269109875975595,NaN
kernel_anchored,196,reference,212.0,9.0,212.0,108.0,8.0,12.0,16.0,NaN,NaN
kernel_anchored,197,calibration,159.0,8.0,215.0,157.0,10.0,13.0,15.0,43.75475897291938,NaN
kernel_anchored,198,reference,219.0,20.0,161.0,140.0,9.0,12.0,16.0,NaN,NaN
kernel_anchored,199,calibration,188.0,12.0,221.0,119.0,10.0,14.0,13.0,36.15523902841657,NaN
kernel_anchored,200,reference,210.0,14.0,164.0,146.0,8.0,11.0,24.0,NaN,NaN
kernel_anchored,201,calibration,195.0,21.0,210.0,109.0,10.0,14.0,18.0,33.034685781172904,NaN
kernel_anchored,202,reference,216.0,16.0,191.0,116.0,9.0,12.0,17.0,NaN,NaN
kernel_anchored,203,calibration,178.0,7.0,210.0,146.0,9.0,12.0,15.0,30.98255521402882,NaN
kernel_anchored,204,reference,234.0,39.0,84.0,168.0,10.0,12.0,30.0,NaN,NaN
kernel_anchored,205,calibration,198.0,30.0,154.0,149.0,11.0,13.0,22.0,17.7367458563362,NaN
kernel_anchored,206,reference,207.0,16.0,148.0,166.0,9.0,13.0,18.0,NaN,NaN
kernel_anchored,207,calibration,220.0,17.0,201.0,105.0,7.0,12.0,15.0,34.726983625416956,NaN
kernel_anchored,208,reference,214.0,34.0,109.0,174.0,9.0,12.0,25.0,NaN,NaN
kernel_anchored,209,calibration,178.0,21.0,163.0,167.0,11.0,14.0,23.0,25.096178158251135,NaN
kernel_anchored,210,reference,192.0,20.0,176.0,151.0,8.0,11.0,19.0,NaN,NaN
kernel_anchored,211,calibration,221.0,18.0,176.0,132.0,10.0,12.0,8.0,20.010521830704356,NaN
kernel_anchored,212,reference,163.0,31.0,171.0,166.0,6.0,13.0,27.0,NaN,NaN
kernel_anchored,213,calibration,197.0,19.0,172.0,144.0,10.0,13.0,22.0,14.480944101119228,NaN
kernel_anchored,214,reference,230.0,14.0,188.0,110.0,9.0,13.0,13.0,NaN,NaN
kernel_anchored,215,calibration,186.0,17.0,222.0,117.0,10.0,12.0,13.0,37.43443965717109,NaN
kernel_anchored,216,reference,240.0,17.0,113.0,173.0,9.0,11.0,14.0,NaN,NaN
kernel_anchored,217,calibration,196.0,41.0,113.0,178.0,10.0,13.0,26.0,47.51519139585826,NaN
kernel_anchored,218,reference,174.0,16.0,225.0,128.0,6.0,12.0,16.0,NaN,NaN
kernel_anchored,219,calibration,167.0,31.0,154.0,176.0,11.0,13.0,25.0,36.254773788384234,NaN
kernel_anchored,220,reference,209.0,32.0,132.0,155.0,11.0,13.0,25.0,NaN,NaN
kernel_anchored,221,calibration,223.0,21.0,180.0,123.0,10.0,13.0,7.0,23.75044462824239,NaN
kernel_anchored,222,reference,197.0,13.0,210.0,117.0,8.0,14.0,18.0,NaN,NaN
kernel_anchored,223,calibration,193.0,40.0,139.0,161.0,10.0,14.0,20.0,27.692159081590496,NaN
kernel_anchored,224,reference,204.0,15.0,199.0,126.0,10.0,13.0,10.0,NaN,NaN
kernel_anchored,225,calibration,212.0,22.0,164.0,141.0,10.0,13.0,15.0,15.477745532710024,NaN
kernel_anchored,226,reference,209.0,19.0,199.0,116.0,10.0,12.0,12.0,NaN,NaN
kernel_anchored,227,calibration,222.0,38.0,110.0,164.0,10.0,14.0,19.0,45.397806928643284,NaN
kernel_anchored,228,reference,200.0,41.0,107.0,186.0,10.0,10.0,23.0,NaN,NaN
kernel_anchored,229,calibration,226.0,20.0,134.0,161.0,10.0,12.0,14.0,30.46263634631306,NaN
kernel_anchored,230,reference,217.0,25.0,127.0,167.0,10.0,13.0,18.0,NaN,NaN
kernel_anchored,231,calibration,202.0,10.0,208.0,121.0,6.0,14.0,16.0,27.72964658294321,NaN
kernel_anchored,232,reference,213.0,32.0,164.0,135.0,9.0,13.0,11.0,NaN,NaN
kernel_anchored,233,calibration,193.0,24.0,169.0,151.0,10.0,13.0,17.0,15.586101463166159,NaN
kernel_anchored,234,reference,187.0,20.0,137.0,183.0,10.0,9.0,31.0,NaN,NaN
kernel_anchored,235,calibration,196.0,24.0,187.0,129.0,11.0,13.0,17.0,17.95408988132968,NaN
kernel_anchored,236,reference,222.0,16.0,206.0,99.0,10.0,12.0,12.0,NaN,NaN
kernel_anchored,237,calibration,207.0,24.0,178.0,130.0,9.0,13.0,16.0,16.41575863481853,NaN
kernel_anchored,238,reference,230.0,35.0,104.0,164.0,10.0,14.0,20.0,NaN,NaN
kernel_anchored,239,calibration,198.0,23.0,142.0,165.0,10.0,12.0,27.0,24.47177312770767,NaN
kernel_anchored,240,reference,232.0,28.0,134.0,144.0,8.0,14.0,17.0,NaN,NaN
kernel_anchored,241,calibration,198.0,9.0,175.0,159.0,11.0,12.0,13.0,18.95262443067074,NaN
kernel_anchored,242,reference,207.0,41.0,113.0,169.0,10.0,13.0,24.0,NaN,NaN
kernel_anchored,243,calibration,221.0,30.0,119.0,161.0,11.0,13.0,22.0,37.179397484859145,NaN
kernel_anchored,244,reference,217.0,18.0,153.0,151.0,10.0,14.0,14.0,NaN,NaN
kernel_anchored,245,calibration,221.0,21.0,123.0,167.0,9.0,12.0,24.0,36.102969580601716,NaN
kernel_anchored,246,reference,188.0,40.0,123.0,174.0,7.0,13.0,32.0,NaN,NaN
kernel_anchored,247,calibration,196.0,23.0,195.0,129.0,11.0,12.0,11.0,20.443781397941166,NaN
kernel_anchored,248,reference,200.0,33.0,149.0,151.0,9.0,14.0,21.0,NaN,NaN
kernel_anchored,249,calibration,222.0,12.0,176.0,127.0,9.0,13.0,18.0,20.975435553111936,NaN
kernel_anchored,250,reference,235.0,8.0,133.0,163.0,9.0,13.0,16.0,NaN,NaN
kernel_anchored,251,calibration,227.0,42.0,100.0,175.0,9.0,13.0,11.0,58.48888007128675,NaN
kernel_anchored,252,reference,209.0,20.0,97.0,200.0,10.0,12.0,29.0,NaN,NaN
kernel_anchored,253,calibration,222.0,31.0,138.0,146.0,9.0,11.0,20.0,26.131642518178417,NaN
kernel_anchored,254,reference,177.0,22.0,177.0,162.0,10.0,13.0,16.0,NaN,NaN
kernel_anchored,255,calibration,215.0,20.0,147.0,154.0,10.0,12.0,19.0,20.247785256685205,NaN
kernel_anchored,256,reference,226.0,22.0,154.0,133.0,8.0,14.0,20.0,NaN,NaN
kernel_anchored,257,calibration,208.0,24.0,125.0,172.0,10.0,13.0,25.0,34.60360080820981,NaN
kernel_anchored,258,reference,197.0,31.0,183.0,130.0,10.0,11.0,15.0,NaN,NaN
kernel_anchored,259,calibration,206.0,13.0,182.0,140.0,9.0,12.0,15.0,15.73890622355838,NaN
kernel_anchored,260,reference,179.0,19.0,192.0,148.0,9.0,12.0,18.0,NaN,NaN
kernel_anchored,261,calibration,219.0,40.0,117.0,160.0,10.0,11.0,20.0,39.767001126523205,NaN
kernel_anchored,262,reference,199.0,7.0,224.0,110.0,6.0,12.0,19.0,NaN,NaN
kernel_anchored,263,calibration,196.0,10.0,222.0,118.0,7.0,12.0,12.0,36.75581669935081,NaN
kernel_anchored,264,reference,197.0,16.0,172.0,155.0,9.0,11.0,17.0,NaN,NaN
kernel_anchored,265,calibration,219.0,12.0,182.0,127.0,8.0,12.0,17.0,20.49560963792822,NaN
kernel_anchored,266,reference,216.0,34.0,135.0,151.0,12.0,13.0,16.0,NaN,NaN
kernel_anchored,267,calibration,163.0,13.0,251.0,116.0,9.0,13.0,12.0,65.53716219522863,NaN
