bandwidth_multiplier,mixing_weight,party,mean,sd,p05,p95,width90
1.0,0.25,DVD,18.21,4.460068088926394,11.0,25.05000000000001,14.050000000000011
1.0,0.25,RN+,170.78666666666666,37.285769191066095,108.95,231.05,122.10000000000001
2.0,0.25,DIV,9.46,1.306684640287732,7.0,12.0,5.0
2.0,0.25,NFP+,199.26666666666668,24.926156270947615,153.85,237.05,83.20000000000002
2.0,0.25,DVG,12.55,0.9920250563239731,11.0,14.0,3.0
2.0,0.25,ENS+,142.91666666666666,21.976341540709985,106.0,176.05,70.05000000000001
2.0,0.25,LR,22.036666666666665,10.298974957382807,8.0,40.0,32.0
2.0,0.25,DVD,18.666666666666668,4.319461546194432,12.950000000000001,26.0,13.049999999999999
2.0,0.25,RN+,172.10333333333332,39.40153455522484,102.9,232.05,129.15
0.25,0.5,DIV,9.236666666666666,1.232498436866548,7.0,11.0,4.0
0.25,0.5,NFP+,198.56,19.708402703510647,166.0,231.0,65.0
0.25,0.5,DVG,12.576666666666666,1.0807477076454175,11.0,14.0,3.0
0.25,0.5,ENS+,143.53,18.682412633437366,114.0,174.0,60.0
0.25,0.5,LR,21.663333333333334,9.915528962402174,9.0,39.0,30.0
0.25,0.5,DVD,18.523333333333333,4.165809499345637,12.0,26.0,14.0
0.25,0.5,RN+,172.91,35.403860587252424,112.9,230.0,117.1
0.5,0.5,DIV,9.29,1.3285770797572067,7.0,11.0,4.0
0.5,0.5,NFP+,199.39666666666668,20.09623974100583,166.0,230.10000000000002,64.10000000000002
0.5,0.5,DVG,12.546666666666667,0.9955531002783335,11.0,14.0,3.0
0.5,0.5,ENS+,144.00333333333333,19.65224392258719,110.95,175.0,64.05
0.5,0.5,LR,20.506666666666668,9.733056913348644,8.0,38.05000000000001,30.05000000000001
0.5,0.5,DVD,18.456666666666667,4.568481765425538,11.950000000000001,26.05000000000001,14.10000000000001
0.5,0.5,RN+,172.8,33.83256035933768,113.9,226.0,112.1
1.0,0.5,DIV,9.263333333333334,1.3515711984837468,7.0,11.0,4.0
1.0,0.5,NFP+,201.52666666666667,20.646959712593695,164.0,232.05,68.05000000000001
1.0,0.5,DVG,12.49,1.1609159110410887,10.0,14.0,4.0
1.0,0.5,ENS+,145.03333333333333,22.07388525512467,108.0,180.0,72.0
1.0,0.5,LR,21.563333333333333,11.013187088898128,8.0,41.0,33.0
1.0,0.5,DVD,18.773333333333333,4.505138896543151,12.0,26.0,14.0
1.0,0.5,RN+,168.35,37.04061993384576,105.0,228.10000000000002,123.10000000000002
2.0,0.5,DIV,9.41,1.4077782015938956,7.0,12.0,5.0
2.0,0.5,NFP+,199.26333333333332,22.74816297237239,157.95,232.05,74.10000000000002
2.0,0.5,DVG,12.6,0.9745936465623671,11.0,14.0,3.0
2.0,0.5,ENS+,141.93666666666667,23.589139036652522,102.95,177.05,74.10000000000001
